behavior,dataset,beta,is_technology
Being bullied,YRBS,-0.212,0
Binge-drinking,YRBS,-0.144,0
Smoking marijuana,YRBS,-0.132,0
Wearing glasses,MCS,-0.061,0
Digital technology use,YRBS,-0.049,1
Eating potatoes,YRBS,-0.042,0
Eating fruit,YRBS,-0.005,0
Drinking milk,YRBS,0.014,0
Eating breakfast,YRBS,0.116,0
Getting enough sleep,YRBS,0.150,0
